"AtcoCode","FerryCode","Name","NameLang","GridType","Easting","Northing","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"9300MBK","MBK","Millbank Millennium Pier","","U",530250,178685,"2006-08-25T11:20:28","2011-02-07T18:47:20",3,"rev"
"9300MBL","MBL","Twickenham - Marble Hill Pk Ferry Landing","","U",517165,173353,"2010-02-11T15:04:00","2010-02-11T15:04:00",0,"new"
"9300MCP","MCP","Gourock McInroy's Point Ferry Terminal","","U",221880,676777,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300MEV","MEV","Mevagissey Ferry Landing","","U",201816,44732,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300MGK","MGK","Mallaig (for Knoydart) Ferry Terminal","","U",167684,797053,"2010-01-08T14:54:15","2010-01-08T14:54:15",0,"new"
"9300MHT","MHT","Masthouse Terrace Pier","","U",537435,178360,"2006-08-25T11:21:05","2011-01-10T13:42:12",1,"rev"
"9300MHV","MHV","Milford Haven – Dock Entrance","","U",190285,205575,"2008-04-07T11:11:02","2008-04-07T11:11:02",0,"new"
"9300MIL","MIL","North Greenwich Pier","","U",539522,180041,"2007-06-18T11:40:13","2011-06-13T15:56:31",1,"rev"
"9300MIN","MIN","Minehead Harbour","","U",297230,147085,"2008-04-07T11:11:27","2008-04-07T11:11:27",0,"new"
"9300MKC","MKC","Monk Coniston Ferry Landing","","U",331606,497882,"2010-07-19T13:13:17","2010-07-19T13:13:17",0,"new"
"9300MLG","MLG","Mallaig (CalMac) Ferry Terminal","","U",167658,797149,"2005-10-11T00:00:00","2010-01-07T15:53:08",2,"rev"
"9300MMQ","MMQ","Mermaid Quay Waterbus Stop","","U",319130,174425,"2011-01-31T23:02:30","2011-01-31T23:02:30",0,"new"
"9300MOU","MOU","Moulsey - Hurst Park Ferry Landing","","U",513932,169317,"2010-02-11T15:05:48","2010-02-11T15:05:48",0,"new"
"9300MPT","MPT","Millport Pier Ferry Terminal","","U",216080,654721,"2006-08-14T08:56:26","2006-12-22T10:10:40",2,"rev"
"9300MSB","MSB","Hengistbury Head Ferry Landing","","U",418238,91275,"2005-10-11T00:00:00","2007-11-09T07:56:28",2,"rev"
"9300MTN","MTN","Transporter Bridge North Side","","U",450039,521371,"2011-06-09T11:06:34","2011-06-09T11:06:34",0,"new"
"9300MTS","MTS","Transporter Bridge South Side","","U",449945,521217,"2011-06-09T11:06:34","2011-06-09T11:06:34",0,"new"
"9300MYF","MYF","Bressay Shetland Ferry Terminal","","U",448772,1141721,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300NCL","NCL","Newcastle International Ferry Terminal","","U",435320,566590,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300NDY","NDY","Sanday Orkney Ferry Terminal","","U",360305,1033972,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300NEL","NEL","Hilton Docklands Nelson Dock Pier","","U",536623,180234,"2005-10-11T00:00:00","2010-12-06T18:11:21",4,"rev"
"9300NGG","NGG","Nigg Ferry Terminal","","U",279665,868770,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300NHV","NHV","Newhaven Harbour Ferry Terminal","","U",544911,100976,"2005-10-11T00:00:00","2008-05-02T17:20:19",2,"rev"
"9300NHY","NHY","North Hoy Orkney Ferry Terminal","","U",324550,1003955,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300NIC","NIC","Hawes End Derwentwater Ferry Landing","","U",325135,521296,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300NLE","NLE","Nichol End (Derwentwater) Ferry Landing","","U",325472,522867,"2010-07-19T13:10:32","2010-07-19T13:10:32",0,"new"
"9300NMC","NMC","Falmouth Ntl Maritime Museum Ferry Landing","","U",181400,32450,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300NOS","NOS","Noss Mayo Ferry Landing","","U",254023,47788,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300NPT","NPT","Newport (S Wales) Ferry Terminal","","U",332370,185485,"2008-04-07T11:12:18","2008-04-07T11:12:18",0,"new"
"9300NRO","NRO","North Ronaldsay Orkney Ferry Terminal","","U",375028,1052223,"2005-10-11T00:00:00","2008-04-25T15:10:54",3,"rev"
