"ParentStopAreaCode","ChildStopAreaCode","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"910GDRNGTOS","440GWO0103","2008-07-22T14:59:00","2008-07-22T14:59:00",0,"new"
"910GDRONFLD","100G00012178","2009-04-16T00:00:00","2009-04-16T00:00:00",,"new"
"910GDRONFLD","100G52065","2009-04-16T00:00:00","2009-04-16T00:00:00",,"new"
"910GDRONFLD","100GDD001877","2008-12-04T00:00:00","2008-12-04T00:00:00",,"new"
"910GDRONFLD","100GDDGLB335","2009-04-16T00:00:00","2009-04-16T00:00:00",,"new"
"910GDTNG","240GA060430R","2009-04-08T16:40:00","2009-04-08T16:40:00",0,"new"
"910GDUFIELD","100G00011928","2008-12-04T00:00:00","2008-12-04T00:00:00",,"new"
"910GDULNGHM","050GDM010012","2008-11-18T00:00:00","2008-11-18T00:00:00",,"new"
"910GDUMPTNP","240G75024","2009-04-08T16:40:00","2009-04-08T16:40:00",0,"new"
"910GDUMPTNP","240GA047130A","2009-04-08T16:40:00","2009-04-08T16:40:00",0,"new"
"910GDUMPTNP","240GA047240A","2009-04-08T17:15:00","2009-04-08T17:15:00",0,"new"
"910GDVHL","100G00015573","2008-12-04T00:00:00","2008-12-04T00:00:00",,"new"
"910GEALINGB","490G00062G","","",,"new"
"910GEALINGB","490G00062H","","",,"new"
"910GEARLSWD","400G4409156A","2009-03-16T12:11:00","2009-03-16T12:11:00",0,"new"
"910GEARLSWD","400G4409157A","2009-03-16T12:11:00","2009-03-16T12:11:00",0,"new"
"910GEARLSWD","400G4409158B","2009-03-16T12:12:00","2009-03-16T12:12:00",0,"new"
"910GEARLSWD","400G4409230B","2009-03-16T12:12:00","2009-03-16T12:12:00",0,"new"
"910GEBOURNE","140GEB0183","2009-07-28T10:12:00","2009-07-28T10:12:00",0,"new"
"910GEBOURNE","140GEB0462","2009-07-28T10:11:00","2009-07-28T10:11:00",0,"new"
"910GEBOURNE","140GRA0024","2011-04-01T12:26:00","2011-04-01T12:26:00",0,"new"
"910GEBSFDOM","240G100073","2009-05-28T12:18:00","2009-05-28T12:18:00",0,"new"
"910GECLR","290GQ0111","2009-01-15T15:27:37","2009-01-15T15:27:37",,"new"
"910GECROYDN","490G01089E5","","",,"new"
"910GECROYDN","490G01089E7","","",,"new"
"910GECROYDN","490G01089E8","","",,"new"
"910GEDALE","100G00015760","2008-12-04T00:00:00","2008-12-04T00:00:00",,"new"
"910GEDMNGRN","490G01092D","","",,"new"
"910GEDNB","240GA007610A","2009-04-08T16:41:00","2009-04-08T16:41:00",0,"new"
"910GEDNB","240GA007630A","2009-04-08T16:41:00","2009-04-08T16:41:00",0,"new"
"910GEDNB","240GA060940R","2009-04-08T16:41:00","2009-04-08T16:41:00",0,"new"
"910GEDNT","240GA007580A","2009-04-08T16:42:00","2009-04-08T16:42:00",0,"new"
"910GEDNT","240GA034890A","2009-04-08T16:41:00","2009-04-08T16:41:00",0,"new"
"910GEDNT","910GEDNB","2009-03-17T14:53:00","2009-03-17T14:53:00",0,"new"
"910GEDPK","490G01091B","","",,"new"
"910GEDULWCH","490G01090S","","",,"new"
"910GEFARLGH","240GA004010A","2009-11-13T12:20:00","2009-11-13T12:20:00",0,"new"
"910GEFARLGH","240GA061140R","2009-04-08T16:42:00","2009-04-08T16:42:00",0,"new"
"910GEFARLGH","910GEFARBUS","2008-11-07T15:34:00","2008-11-07T15:34:00",0,"new"
"910GEFNGHMJ","400G4407288B","2009-03-16T12:25:00","2009-03-16T12:25:00",0,"new"
"910GEFNGHMJ","400G4407289A","2009-03-16T12:26:00","2009-03-16T12:26:00",0,"new"
"910GEGHAM","400G4401026A","2009-03-16T12:28:00","2009-03-16T12:28:00",0,"new"
"910GEGHAM","400G4401064A","2009-03-16T12:29:00","2009-03-16T12:29:00",0,"new"
"910GEGHAM","400G4401065A","2009-03-16T12:29:00","2009-03-16T12:29:00",0,"new"
"910GEGRNSTD","440GEG0291","2008-07-22T15:45:00","2008-07-22T15:45:00",0,"new"
"910GEGRNSTD","440GEG0295","2008-07-22T15:46:00","2008-07-22T15:46:00",0,"new"
"910GELGH","190G21","2011-09-28T13:05:29","2011-09-28T13:05:29",,"new"
"910GELMERSE","490G01094E","","",,"new"
"910GELMSWEL","390G40425","2011-09-28T14:17:36","2011-09-28T14:17:36",,"new"
"910GELMW","490G01095S","","",,"new"
"910GELPHNAC","490G00073G","","",,"new"
"910GELSENHM","150G00001359","","",,"new"
"910GELTON","330GRU0081","2009-01-15T12:08:00","2009-01-15T12:08:00",0,"new"
"910GELTR","210G774","","",,"new"
"910GELTR","210G780","","",,"new"
"910GELYY","050GEL000000","2008-11-18T00:00:00","2008-11-18T00:00:00",,"new"
"910GELYY","050GEL900","2008-11-18T00:00:00","2008-11-18T00:00:00",,"new"
"910GEMALING","240GA005100A","2009-04-08T16:43:00","2009-04-08T16:43:00",0,"new"
"910GEMALING","240GA060520R","2009-04-08T16:43:00","2009-04-08T16:43:00",0,"new"
"910GEMPKWAY","330GRU0410","2009-01-22T11:34:00","2009-01-22T11:34:00",0,"new"
"910GEMRSPKH","490G01098B","","",,"new"
"910GENFC","490G01099CC","","",,"new"
"910GENFCOAK","940GZZLUOAK","2009-03-17T14:23:00","2009-03-17T14:23:00",0,"new"
"910GENFLDLK","490G01100B","","",,"new"
"910GENFLDTN","490G01101L","","",,"new"
"910GEPSDNS","400G4406108A","2009-03-16T12:30:00","2009-03-16T12:30:00",0,"new"
"910GEPSM","400G4406038A","2009-03-16T12:31:00","2009-03-16T12:31:00",0,"new"
"910GEPSM","400G4406067A","2009-03-16T12:31:00","2009-03-16T12:31:00",0,"new"
"910GERIDGE","140GRR84169","2009-07-28T10:12:00","2009-07-28T10:12:00",0,"new"
"910GERIDGE","910GERIDBUS","2008-07-31T15:36:00","2008-07-31T15:36:00",0,"new"
"910GERLFLD","490G01088N","","",,"new"
"910GERLY","035G75060001","2009-03-20T11:49:00","2009-03-20T11:49:00",0,"new"
"910GESHER","400G4405078A","2009-03-16T12:36:00","2009-03-16T12:36:00",0,"new"
"910GESHER","400G4405137A","2009-03-16T12:36:00","2009-03-16T12:36:00",0,"new"
"910GESSEXRD","490G01103N2","","",,"new"
"910GESTFLDS","490G06350N1","","",,"new"
"910GETCHNGM","140GRR0399","2009-07-28T10:15:00","2009-07-28T10:15:00",0,"new"
"910GETCHNGM","140GRR84303","2009-07-28T10:15:00","2009-07-28T10:15:00",0,"new"
"910GETILBRY","159G0034301","2008-12-19T10:57:00","2008-12-19T10:57:00",0,"new"
"910GETILBRY","159G034601","2008-12-19T10:54:00","2008-12-19T10:54:00",0,"new"
"910GETILBRY","159G034701","2008-12-19T10:54:00","2008-12-19T10:54:00",0,"new"
"910GEUSTON","490G00077B","","",,"new"
"910GEUSTON","490G00077G","","",,"new"
"910GEUSTON","490G00077H","","",,"new"
"910GEWELLE","400G4406044A","2009-03-17T11:03:00","2009-03-17T11:03:00",0,"new"
"910GEWELLE","400G4406046A","2009-03-17T11:03:00","2009-03-17T11:03:00",0,"new"
"910GEWELW","400G4406078A","2009-03-17T11:07:00","2009-03-17T11:07:00",0,"new"
"910GEWELW","400G4406079A","2009-03-17T11:08:00","2009-03-17T11:08:00",0,"new"
"910GEWRTHNG","440GWO0412","2008-07-23T10:17:00","2008-07-23T10:17:00",0,"new"
