"AtcoCode","CommonName","CommonNameLang","ShortName","ShortCommonNameLang","Landmark","LandmarkLang","Street","StreetLang","Crossing","CrossingLang","Indicator","IndicatorLang","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"2500LAA00480","BELTHORN Tower View","","","","BELTHORN Tower View","","BELTHORN ROAD","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00481","WATER Dean Lane","","","","WATER Dean Lane","","BURNLEY ROAD EAST","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00482","WATERFOOT Townsend Street","","","","WATERFOOT Townsend Street","","BACUP ROAD","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00483","Coppull Moor Road","","","","Coppull Moor Road","","COPPULL MOOR LANE","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00484","LEYLAND St Marys School","","","","LEYLAND St Marys School","","ROYAL AVENUE","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00485","SAVICK Ainsdale Drive","","","","SAVICK Ainsdale Drive","","AINSDALE DRIVE","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00486","Savick Lyndhurst Drive","","","","Savick Lyndhurst Drive","","Lichfield Road","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00487","Savick Lyndhurst Drive","","","","Savick Lyndhurst Drive","","West Park Ave","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00488","Ashton Moss Ave","","","","Ashton Moss Ave","","West Park Ave","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00489","Ashton Cottam Lane","","","","Ashton Cottam Lane","","West Park Ave","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00490","Ashton Clifton Ave","","","","Ashton Clifton Ave","","West Park Ave","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00491","Ashton Cedar Ave","","","","Ashton Cedar Ave","","West Park Ave","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00492","Savick Elm Ave","","","","Savick Elm Ave","","West Park Ave","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00493","Savick West Park Ave","","","","Savick West Park Ave","","West Park Ave","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00494","Savick Queensway","","","","Savick Queensway","","West Park Ave","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00495","Savick Queensway","","","","Savick Queensway","","West Park Ave","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00496","SAVICK Ainsdale Drive","","","","SAVICK Ainsdale Drive","","Ainsdale Drive","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00497","LEA Lea Road","","","","LEA Lea Road","","LEA ROAD","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00498","RIBBLETON Library","","","","RIBBLETON Library","","RIBBLETON HALL DRIVE","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00499","RIBBLETON Ribbleton Hall Drive","","","","RIBBLETON Ribbleton Hall Drive","","Ribbleton Hall Drive","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00500","RIBBLETON City of Preston HS","","","","RIBBLETON City of Preston HS","","Ribbleton Hall Drive","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00501","DELETED RECORD","","","","MOOR NOOK Shops","","POPE LANE","","","","","","2009-09-14T08:57:00","2010-05-17T11:42:00",2,"del"
"2500LAA00502","MOOR NOOK Slaidburn Road","","","","MOOR NOOK Slaidburn Road","","GRIZEDALE CRESCENT","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00503","MOOR NOOK Whitmore Drive","","","","MOOR NOOK Whitmore Drive","","Grizedale Crescent","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00504","MOOR NOOK Grizedale Crescent","","","","MOOR NOOK Grizedale Crescent","","Grizedale Crescent","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00505","MOOR NOOK Hazelhurst Road","","","","MOOR NOOK Hazelhurst Road","","GRIZEDALE CRESCENT","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00506","MOOR NOOK Birkett Drive","","","","MOOR NOOK Birkett Drive","","GRIZEDALE CRESCENT","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00507","Moor Nook Pope Lane","","","","Moor Nook Pope Lane","","POPE LANE","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00508","MOOR NOOK Pope Lane","","","","MOOR NOOK Pope Lane","","Pope Lane","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00509","RIBBLETON City of Preston HS","","","","RIBBLETON City of Preston HS","","RIBBLETON HALL DRIVE","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00510","RIBBLETON Cavendish Drive","","","","RIBBLETON Cavendish Drive","","Ribbleton Hall Drive","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00511","RIBBLETON Library","","","","RIBBLETON Library","","Ribbleton Hall Drive","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00512","FLEETWOOD Fire Station","","","","FLEETWOOD Fire Station","","KEATING COURT","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00513","FLEETWOOD Fire Station","","","","FLEETWOOD Fire Station","","RADCLIFFE ROAD","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00514","FLEETWOOD Copse Road","","","","FLEETWOOD Copse Road","","COPSE ROAD","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00517","DELETED RECORD","","","","Hospital Inn Level Crossing","","BRINDLE ROAD","","","","","","2009-09-14T08:57:00","2010-05-19T09:44:00",2,"del"
"2500LAA00518","DELETED RECORD","","","","Hospital Inn Level Crossing","","Brindle Road","","","","","","2009-09-14T08:57:00","2010-05-19T09:45:00",2,"del"
"2500LAA00519","Tarleton Blackgate Lane","","","","Tarleton Blackgate Lane","","BLACKGATE LANE","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00520","Tarleton Blackgate Lane","","","","Tarleton Blackgate Lane","","BLACKGATE LANE","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00521","Penwortham Martinfield Road","","","","Penwortham Martinfield Road","","Martinfield Road","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00522","SINGLETON Mile Road","","","","SINGLETON Mile Road","","MILE ROAD","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00523","Thistleton Village","","","","Thistleton Village","","THISTLETON ROAD","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA00524","DELETED RECORD","","","","Mitton Road End","","WHALLEY ROAD","","","","","","2009-09-14T08:57:00","2010-05-05T12:45:00",2,"del"
"2500LAA00525","HELMSHORE Gregory Fold","","","","Gregory Fold","","HELMSHORE ROAD","","","","","","2009-09-14T08:57:00","2010-05-04T14:15:00",2,"rev"
