"AtcoCode","OperatorRef","NationalCoachCode","Name","NameLang","LongName","LongNameLang","GridType","Easting","Northing","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"4400WO0240","","900063206C","Broadwater (Worthing)","en","Worthing: Broadwater, St Marys Church","en","U",514616,104343,"","",0,""
"4400WO0257","","900063196A","Worthing (W Sussex)","en","Worthing: The Dome, Stop G","en","U",515099,102422,"","",0,""
"4400WO0258","","900063196C","Worthing (W Sussex)","en","Worthing: opp The Dome, Stop A","en","U",515122,102428,"","",0,""
"4400WO0301","","900063197C","Goring by Sea","en","Goring-by-Sea: Library","en","U",511181,102679,"","",0,""
"4400WO0306","","900063197A","Goring by Sea","en","Goring-by-Sea: opp Caffyns Garage","en","U",510699,103002,"","",0,""
"450010596","","900076082A","Moortown (Leeds)","en","Leeds (Moortown): Harrogate Rd, At St John's Ch","en","U",430844,439676,"","",0,""
"450010802","","900076092","Richmond Hill (Leeds)","en","Leeds: Irish Centre, York Road","en","U",431810,433639,"","",0,""
"450010874","","900076012C","Swinnow","en","Leeds (Bramley): Church of the Venerable Bede","en","U",423373,434235,"","",0,""
"450012790","","900098340","Bramley (Leeds)","en","Bramley (W Yorks): Bus Station Stand A","en","U",424673,435049,"","",0,""
"450012964","","900076012A","Swinnow","en","Leeds (Bramley): Swinnow Lane nr Rycroft Avenue","en","U",423403,434198,"","",0,""
"450013113","","900076082C","Moortown (Leeds)","en","Leeds (Moortown): Harrogate Rd, At St John's Ch","en","U",430736,439298,"","",0,""
"450013159","","900076052R","Leeds City Centre","en","Leeds: K14 Kirkgate","en","U",430536,433379,"","",0,""
"450013210","","900076054C","Crown Point (Leeds)","en","Leeds: Great Wilson Street, Victoria Road","en","U",429917,432928,"","",0,""
