"AtcoCode","StartGridType","StartEasting","StartNorthing","EndGridType","EndEasting","EndNorthing","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"1800NEH2002","U",385989,407495,"U",385750,407006,"","",0,"new"
"1800NEH2011","U",385555,413475,"U",385732,413565,"","",0,"new"
"1800NEH2012","U",385732,413565,"U",385555,413475,"","",0,"new"
"1800NEH2021","U",391386,415325,"U",391454,415712,"","",0,"new"
"1800NEH2022","U",391454,415712,"U",391386,415325,"","",0,"new"
"1800NEH2031","U",391576,415432,"U",391454,415712,"","",0,"new"
"1800NEH2032","U",391454,415712,"U",391576,415432,"","",0,"new"
"1800NEH2041","U",384990,413550,"U",385400,413567,"","",0,"new"
"1800NEH2042","U",385400,413567,"U",384990,413550,"","",0,"new"
"1800NEH2051","U",388377,412266,"U",388300,412157,"","",0,"new"
"1800NEH2052","U",388300,412157,"U",388377,412266,"","",0,"new"
"1800NEH2061","U",383089,413293,"U",383737,411936,"","",0,"new"
"1800NEH2062","U",383737,411936,"U",383089,413293,"","",0,"new"
"1800NEH2071","U",387542,414241,"U",387690,414345,"","",0,"new"
"1800NEH2072","U",387690,414345,"U",387542,414241,"","",0,"new"
"1800NEH2081","U",388479,415062,"U",388652,415717,"","",0,"new"
"1800NEH2082","U",388652,415717,"U",388479,415062,"","",0,"new"
"1800NEH2091","U",389046,415464,"U",389003,415164,"","",0,"new"
"1800NEH2092","U",389003,415164,"U",389046,415464,"","",0,"new"
"1800NEH2101","U",389046,415464,"U",389003,415164,"","",0,"new"
"1800NEH2102","U",389003,415164,"U",389046,415464,"","",0,"new"
"1800NEH2111","U",388479,415062,"U",388652,415717,"","",0,"new"
"1800NEH2112","U",388652,415717,"U",388479,415062,"","",0,"new"
"1800NEH2121","U",390082,414760,"U",390132,414647,"","",0,"new"
"1800NEH2122","U",390132,414647,"U",390082,414760,"","",0,"new"
"1800NEH2131","U",390082,414760,"U",389990,414680,"","",0,"new"
"1800NEH2132","U",389990,414680,"U",390082,414760,"","",0,"new"
"1800NEH2141","U",389990,414680,"U",389810,414980,"","",0,"new"
"1800NEH2142","U",389810,414980,"U",389990,414680,"","",0,"new"
"1800NEH2151","U",389810,414980,"U",389950,415140,"","",0,"new"
"1800NEH2152","U",389950,415140,"U",389810,414980,"","",0,"new"
"1800NEH2161","U",390811,412496,"U",390793,412660,"","",0,"new"
"1800NEH2162","U",390793,412660,"U",390811,412496,"","",0,"new"
"1800NEH2171","U",383089,413293,"U",383737,411936,"","",0,"new"
"1800NEH2172","U",383737,411936,"U",383089,413293,"","",0,"new"
"1800NEH2181","U",389417,413974,"U",389321,413964,"","",0,"new"
"1800NEH2182","U",389321,413964,"U",389417,413974,"","",0,"new"
"1800NEH2191","U",386488,407059,"U",386093,407330,"","",0,"new"
"1800NEH2192","U",386093,407330,"U",386488,407059,"","",0,"new"
"1800NEH2211","U",385413,414628,"U",385318,414639,"","",0,"new"
"1800NEH2221","U",385206,414778,"U",385245,414626,"","",0,"new"
"1800NEH2222","U",385245,414626,"U",385206,414778,"","",0,"new"
"1800NEH2241","U",391085,413979,"U",391024,413469,"","",0,"new"
"1800NEH2261","U",392684,416549,"U",392595,416448,"","",0,"new"
"1800NEH2262","U",392682,416548,"U",392552,416399,"","",0,"new"
"1800NEH2271","U",392732,416488,"U",392871,416533,"","",0,"new"
"1800NEH2272","U",392682,416548,"U",392911,416525,"","",0,"new"
"1800NEH2281","U",392871,416533,"U",392732,416488,"","",0,"new"
"1800NEH2282","U",392886,416404,"U",392911,416525,"","",0,"new"
"1800NEH2331","U",386280,411210,"U",386441,410916,"","",0,"new"
"1800NEH2332","U",386347,411248,"U",386441,410916,"","",0,"new"
"1800NEH2341","U",386441,410916,"U",386280,411210,"","",0,"new"
"1800NEH2342","U",386347,411248,"U",386441,410916,"","",0,"new"
"1800NEH2381","U",385152,405249,"U",384452,406078,"","",0,"new"
"1800NEH2382","U",385152,405249,"U",384452,406078,"","",0,"new"
"1800NEH2391","U",387919,411079,"U",387757,411376,"","",0,"new"
"1800NEH2392","U",387757,411376,"U",387919,411079,"","",0,"new"
"1800NEH2421","U",385750,407006,"U",385989,407495,"","",0,"new"
"1800NEH2422","U",385989,407495,"U",385750,407006,"","",0,"new"
"1800NEH2431","U",388300,412157,"U",388450,412235,"","",0,"new"
"1800NEH2432","U",388450,412235,"U",388300,412157,"","",0,"new"
"1800NEH2481","U",391352,412896,"U",391092,412980,"","",0,"new"
"1800NEH2482","U",391092,412980,"U",391352,412896,"","",0,"new"
"1800NEH2491","U",384329,411230,"U",384322,411172,"","",0,"new"
"1800NEH2492","U",384322,411172,"U",384329,411230,"","",0,"new"
"1800NEH2501","U",384543,411145,"U",384977,411071,"","",0,"new"
"1800NEH2502","U",384977,411071,"U",384543,411145,"","",0,"new"
"1800NEH2511","U",384543,411145,"U",384977,411071,"","",0,"new"
"1800NEH2512","U",384977,411071,"U",384543,411145,"","",0,"new"
"1800NEH2521","U",384964,411314,"U",384977,411071,"","",0,"new"
"1800NEH2522","U",384977,411071,"U",384964,411314,"","",0,"new"
"1800NEH2531","U",385026,411309,"U",385034,411394,"","",0,"new"
"1800NEH2532","U",385034,411394,"U",385026,411309,"","",0,"new"
"1800NEH2541","U",385034,411394,"U",385182,411506,"","",0,"new"
"1800NEH2542","U",385182,411506,"U",385034,411394,"","",0,"new"
"1800NEH2561","U",387224,412802,"U",386370,413170,"","",0,"new"
"1800NEH2562","U",386370,413170,"U",387224,412802,"","",0,"new"
"1800NEH2571","U",387224,412802,"U",386370,413170,"","",0,"new"
"1800NEH2572","U",386370,413170,"U",387224,412802,"","",0,"new"
"1800NEH2611","U",389778,415495,"U",389626,415101,"","",0,"new"
"1800NEH2612","U",389626,415101,"U",389837,415493,"","",0,"new"
