"AtcoCode","Sequence","GridType","Easting","Northing","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"1500FLX1503",5,"U",582809,201757,"","",,"new"
"1500FLX1504",1,"U",584415,207553,"","",,"new"
"1500FLX1504",2,"U",585645,207081,"","",,"new"
"1500FLX1504",3,"U",586038,206458,"","",,"new"
"1500FLX1504",4,"U",586228,205787,"","",,"new"
"1500FLX1504",5,"U",585109,205204,"","",,"new"
"1500FLX1504",6,"U",583776,205605,"","",,"new"
"1500FLX1505",1,"U",584338,208754,"","",,"new"
"1500FLX1505",2,"U",586085,209185,"","",,"new"
"1500FLX1505",3,"U",587401,207903,"","",,"new"
"1500FLX1505",4,"U",587349,206788,"","",,"new"
"1500FLX1505",5,"U",585142,207403,"","",,"new"
"1500FLX1505",6,"U",584671,207690,"","",,"new"
"1500FLX452",1,"U",625618,231895,"","",,"new"
"1500FLX452",2,"U",625821,232974,"","",,"new"
"1500FLX452",3,"U",626346,233030,"","",,"new"
"1500FLX452",4,"U",626336,232434,"","",,"new"
"1500FLX452",5,"U",626223,231664,"","",,"new"
"1500FLX452",6,"U",625871,231583,"","",,"new"
"1500FLX453",1,"U",624334,231843,"","",,"new"
"1500FLX453",2,"U",624510,231888,"","",,"new"
"1500FLX453",3,"U",624962,231820,"","",,"new"
"1500FLX453",4,"U",625330,231793,"","",,"new"
"1500FLX453",5,"U",625616,231894,"","",,"new"
"1500FLX453",6,"U",625874,231586,"","",,"new"
"1500FLX453",7,"U",625139,230620,"","",,"new"
"1500FLX453",8,"U",625068,231130,"","",,"new"
"1500FLX453",9,"U",624392,231285,"","",,"new"
"1500FLX454",1,"U",622269,229905,"","",,"new"
"1500FLX454",2,"U",624334,231843,"","",,"new"
"1500FLX454",3,"U",624393,231287,"","",,"new"
"1500FLX454",4,"U",625069,231127,"","",,"new"
"1500FLX454",5,"U",625139,230616,"","",,"new"
"1500FLX454",6,"U",624711,229696,"","",,"new"
"1500FLX454",7,"U",623970,229624,"","",,"new"
"1500FLX454",8,"U",622009,230303,"","",,"new"
"1500FLX454",9,"U",621446,230128,"","",,"new"
"1500FLX454",10,"U",621358,230415,"","",,"new"
"1500FLX454",11,"U",621604,230758,"","",,"new"
"1500FLX454",12,"U",622099,231351,"","",,"new"
"1500FLX454",13,"U",623227,231194,"","",,"new"
"1500FLX454",14,"U",623895,231774,"","",,"new"
"1500FLX454",15,"U",624117,231806,"","",,"new"
"1500FLX455",1,"U",621446,230128,"","",,"new"
"1500FLX455",2,"U",622009,230303,"","",,"new"
"1500FLX455",3,"U",622269,229905,"","",,"new"
"1500FLX455",4,"U",622496,229243,"","",,"new"
"1500FLX455",5,"U",621728,228719,"","",,"new"
"1500FLX456",1,"U",624334,231843,"","",,"new"
"1500FLX456",2,"U",624117,231806,"","",,"new"
"1500FLX456",3,"U",623895,231774,"","",,"new"
"1500FLX456",4,"U",623380,231900,"","",,"new"
"1500FLX456",5,"U",622782,232821,"","",,"new"
"1500FLX456",6,"U",624309,232829,"","",,"new"
"1500FLX457",1,"U",621364,230412,"","",,"new"
"1500FLX457",2,"U",621446,230128,"","",,"new"
"1500FLX457",3,"U",620624,229988,"","",,"new"
"1500FLX457",4,"U",620643,230770,"","",,"new"
"1500FLX457",5,"U",621104,231013,"","",,"new"
"1500FLX457",6,"U",621607,230756,"","",,"new"
"270000008195",1,"U",543145,356799,"","",,"new"
"270000008195",2,"U",543598,356799,"","",,"new"
"270000008195",3,"U",543598,356457,"","",,"new"
"270000008195",4,"U",543145,356457,"","",,"new"
"270000008196",1,"U",539971,377111,"","",,"new"
"270000008196",2,"U",540305,377111,"","",,"new"
"270000008196",3,"U",540305,376808,"","",,"new"
"270000008196",4,"U",539971,376808,"","",,"new"
"270000008197",1,"U",543736,355670,"","",,"new"
"270000008197",2,"U",543736,356148,"","",,"new"
"270000008197",3,"U",544402,356148,"","",,"new"
"270000008197",4,"U",544402,355670,"","",,"new"
"270000008709",1,"U",533134,378740,"","",,"new"
"270000008709",2,"U",533332,378740,"","",,"new"
"270000008709",3,"U",533332,378597,"","",,"new"
"270000008709",4,"U",533164,378597,"","",,"new"
"270000008710",1,"U",530660,384524,"","",,"new"
"270000008710",2,"U",531290,384524,"","",,"new"
"270000008710",3,"U",531290,384976,"","",,"new"
"270000008710",4,"U",530660,384976,"","",,"new"
"270000009069",1,"U",542173,354156,"","",,"new"
"270000009069",2,"U",543073,354156,"","",,"new"
"270000009069",3,"U",543073,352966,"","",,"new"
"270000009069",4,"U",542173,352966,"","",,"new"
"270000009070",1,"U",539996,357526,"","",,"new"
"270000009070",2,"U",540412,357526,"","",,"new"
"270000009070",3,"U",540412,356914,"","",,"new"
"270000009070",4,"U",539996,356914,"","",,"new"
"270000009072",1,"U",551313,360623,"","",,"new"
"270000009072",2,"U",552446,360623,"","",,"new"
"270000009072",3,"U",552446,359859,"","",,"new"
"270000009072",4,"U",551313,359859,"","",,"new"
"270000009073",1,"U",539949,383571,"","",,"new"
"270000009073",2,"U",541208,383571,"","",,"new"
"270000009073",3,"U",541208,382537,"","",,"new"
"270000009073",4,"U",539949,382537,"","",,"new"
"270000009074",1,"U",555484,358179,"","",,"new"
"270000009074",2,"U",555724,358179,"","",,"new"
"270000009074",3,"U",555724,357890,"","",,"new"
"270000009074",4,"U",555484,357890,"","",,"new"
"270000009075",1,"U",521498,368037,"","",,"new"
"270000009075",2,"U",522212,368037,"","",,"new"
"270000009075",3,"U",522212,367505,"","",,"new"
"270000009075",4,"U",521498,367505,"","",,"new"
"270000009082",1,"U",524327,367882,"","",,"new"
"270000009082",2,"U",524675,367882,"","",,"new"
"270000009082",3,"U",524675,367729,"","",,"new"
"270000009082",4,"U",524327,367729,"","",,"new"
"270000009083",1,"U",550680,361893,"","",,"new"
"270000009083",2,"U",551195,361893,"","",,"new"
"270000009083",3,"U",551195,361389,"","",,"new"
"270000009083",4,"U",550680,361389,"","",,"new"
"270000009085",1,"U",530214,369045,"","",,"new"
"270000009085",2,"U",530517,369045,"","",,"new"
"270000009085",3,"U",530517,368811,"","",,"new"
"270000009085",4,"U",530214,368811,"","",,"new"
"270000009086",1,"U",541492,382089,"","",,"new"
"270000009086",2,"U",541492,382268,"","",,"new"
"270000009086",3,"U",541720,382268,"","",,"new"
"270000009086",4,"U",541720,382089,"","",,"new"
"270000009087",1,"U",533662,371769,"","",,"new"
"270000009087",2,"U",533879,371769,"","",,"new"
"270000009087",3,"U",533879,371474,"","",,"new"
"270000009087",4,"U",533662,371474,"","",,"new"
"270000009089",1,"U",540020,378730,"","",,"new"
"270000009089",2,"U",540370,378730,"","",,"new"
"270000009089",3,"U",540370,378490,"","",,"new"
"270000009089",4,"U",540020,378490,"","",,"new"
"270000009091",1,"U",549140,360205,"","",,"new"
"270000009091",2,"U",550796,360205,"","",,"new"
"270000009091",3,"U",550796,358626,"","",,"new"
"270000009091",4,"U",549140,358626,"","",,"new"
"270000009092",1,"U",538490,372433,"","",,"new"
"270000009092",2,"U",538490,372433,"","",,"new"
"270000009092",3,"U",538778,372211,"","",,"new"
"270000009092",4,"U",538778,372211,"","",,"new"
"270000009094",1,"U",538614,376316,"","",,"new"
"270000009094",2,"U",539413,376316,"","",,"new"
"270000009094",3,"U",539413,375476,"","",,"new"
"270000009094",4,"U",538614,375476,"","",,"new"
"270000009100",1,"U",522939,371742,"","",,"new"
"270000009100",2,"U",523950,371742,"","",,"new"
"270000009100",3,"U",523950,371159,"","",,"new"
"270000009100",4,"U",522939,371159,"","",,"new"
"270000009107",1,"U",541750,364240,"","",,"new"
"270000009107",2,"U",542010,364240,"","",,"new"
"270000009107",3,"U",542510,363110,"","",,"new"
"270000009107",4,"U",542110,363070,"","",,"new"
"270000009111",1,"U",540972,378553,"","",,"new"
"270000009111",2,"U",541473,378553,"","",,"new"
"270000009111",3,"U",541473,378281,"","",,"new"
"270000009111",4,"U",540972,378281,"","",,"new"
"270000009117",1,"U",530906,377211,"","",,"new"
"270000009117",2,"U",531253,377211,"","",,"new"
"270000009117",3,"U",531253,377090,"","",,"new"
"270000009117",4,"U",530906,377090,"","",,"new"
"270000009596",1,"U",527161,379367,"","",,"new"
"270000009596",2,"U",528069,379367,"","",,"new"
"270000009596",3,"U",528069,378119,"","",,"new"
"270000009596",4,"U",527161,378119,"","",,"new"
"270000009655",1,"U",528170,329500,"","",,"new"
"270000009655",2,"U",528160,329120,"","",,"new"
"270000009655",3,"U",527300,328880,"","",,"new"
"270000009655",4,"U",527050,328600,"","",,"new"
"270000009655",5,"U",525460,328380,"","",,"new"
"270000009655",6,"U",525450,328510,"","",,"new"
"270000009655",7,"U",526330,329100,"","",,"new"
"270000009655",8,"U",527250,329110,"","",,"new"
"270000009656",1,"U",523568,386604,"","",,"new"
"270000009656",2,"U",523878,386604,"","",,"new"
"270000009656",3,"U",523878,385915,"","",,"new"
"270000009656",4,"U",523568,385915,"","",,"new"
"270000009763",1,"U",548166,360845,"","",,"new"
"270000009763",2,"U",548518,360845,"","",,"new"
"270000009763",3,"U",548518,360664,"","",,"new"
"270000009763",4,"U",548166,360664,"","",,"new"
"270000010161",1,"U",545713,373815,"","",,"new"
"270000010161",2,"U",546304,373815,"","",,"new"
"270000010161",3,"U",546304,372708,"","",,"new"
"270000010161",4,"U",545713,372708,"","",,"new"
"270000010162",1,"U",521179,396481,"","",,"new"
"270000010162",2,"U",522061,396481,"","",,"new"
"270000010162",3,"U",522061,395888,"","",,"new"
"270000010162",4,"U",521179,395888,"","",,"new"
"270000010543",1,"U",554080,359870,"","",,"new"
"270000010543",2,"U",554419,359870,"","",,"new"
"270000010543",3,"U",554419,359710,"","",,"new"
"270000010543",4,"U",554080,359710,"","",,"new"
"270000010712",1,"U",533429,381756,"","",,"new"
"270000010712",2,"U",533958,381756,"","",,"new"
"270000010712",3,"U",533958,381371,"","",,"new"
"270000010712",4,"U",533429,381371,"","",,"new"
"270000010757",1,"U",524833,390397,"","",,"new"
"270000010757",2,"U",525357,390397,"","",,"new"
"270000010757",3,"U",525357,389841,"","",,"new"
"270000010757",4,"U",524833,389841,"","",,"new"
"270000010917",1,"U",527097,387824,"","",,"new"
"270000010917",2,"U",528118,387824,"","",,"new"
"270000010917",3,"U",528118,386887,"","",,"new"
"270000010917",4,"U",527097,386887,"","",,"new"
"270000013659",1,"U",538223,383795,"","",,"new"
"270000013659",2,"U",538583,383795,"","",,"new"
"270000013659",3,"U",538583,383539,"","",,"new"
"270000013659",4,"U",538223,383539,"","",,"new"
"270000014172",1,"U",516493,369193,"","",,"new"
"270000014172",2,"U",517870,369193,"","",,"new"
"270000014172",3,"U",517870,368457,"","",,"new"
"270000014172",4,"U",516493,368457,"","",,"new"
"270000014450",1,"U",546377,372114,"","",,"new"
"270000014450",2,"U",547495,372114,"","",,"new"
"270000014450",3,"U",547495,371720,"","",,"new"
"270000014450",4,"U",546377,371720,"","",,"new"
"270002700154",1,"U",506092,392865,"","",,"new"
"270002700154",2,"U",506510,392865,"","",,"new"
"270002700154",3,"U",506510,392645,"","",,"new"
"270002700154",4,"U",506092,392645,"","",,"new"
"270002700155",1,"U",498049,393065,"","",,"new"
"270002700155",2,"U",498335,393065,"","",,"new"
"270002700155",3,"U",498335,392880,"","",,"new"
"270002700155",4,"U",498049,392880,"","",,"new"
"270002700157",1,"U",505650,407590,"","",,"new"
"270002700157",2,"U",506220,407590,"","",,"new"
"270002700157",3,"U",506220,407020,"","",,"new"
"270002700157",4,"U",505650,407020,"","",,"new"
"270002700158",1,"U",520615,394256,"","",,"new"
"270002700158",2,"U",521472,394256,"","",,"new"
"270002700158",3,"U",521472,393400,"","",,"new"
"270002700158",4,"U",520615,393400,"","",,"new"
"270002700159",1,"U",498148,392818,"","",,"new"
"270002700159",2,"U",498761,392818,"","",,"new"
"270002700159",3,"U",498761,392344,"","",,"new"
"270002700159",4,"U",498148,392344,"","",,"new"
"270002700160",1,"U",501332,397054,"","",,"new"
"270002700160",2,"U",501614,397054,"","",,"new"
"270002700160",3,"U",501614,396901,"","",,"new"
"270002700160",4,"U",501332,396901,"","",,"new"
"270002700161",1,"U",513362,411843,"","",,"new"
"270002700161",2,"U",514560,411843,"","",,"new"
"270002700161",3,"U",514560,411039,"","",,"new"
"270002700161",4,"U",513362,411039,"","",,"new"
"270002700162",1,"U",519611,395790,"","",,"new"
"270002700162",2,"U",520990,395790,"","",,"new"
"270002700162",3,"U",520990,394934,"","",,"new"
"270002700162",4,"U",519611,394934,"","",,"new"
"270002700163",1,"U",507168,385313,"","",,"new"
"270002700163",2,"U",508186,385313,"","",,"new"
"270002700163",3,"U",508186,385036,"","",,"new"
"270002700163",4,"U",507168,385036,"","",,"new"
"270002700164",1,"U",513763,402102,"","",,"new"
"270002700164",2,"U",514592,402102,"","",,"new"
"270002700164",3,"U",514592,401682,"","",,"new"
"270002700164",4,"U",513763,401682,"","",,"new"
"270002700166",1,"U",508542,396483,"","",,"new"
"270002700166",2,"U",509837,396483,"","",,"new"
"270002700166",3,"U",509837,395818,"","",,"new"
"270002700166",4,"U",508542,395818,"","",,"new"
"270002700167",1,"U",510119,404393,"","",,"new"
"270002700167",2,"U",510424,404393,"","",,"new"
"270002700167",3,"U",510424,404144,"","",,"new"
"270002700167",4,"U",510119,404144,"","",,"new"
"270002700168",1,"U",503024,383360,"","",,"new"
"270002700168",2,"U",503585,383360,"","",,"new"
"270002700168",3,"U",503585,383106,"","",,"new"
"270002700168",4,"U",503024,383106,"","",,"new"
"270002700169",1,"U",518737,398359,"","",,"new"
"270002700169",2,"U",519332,398359,"","",,"new"
"270002700169",3,"U",519332,398040,"","",,"new"
"270002700169",4,"U",518737,398040,"","",,"new"
"270002700170",1,"U",516898,401307,"","",,"new"
"270002700170",2,"U",517472,401307,"","",,"new"
"270002700170",3,"U",517472,400879,"","",,"new"
"270002700170",4,"U",516898,400879,"","",,"new"
"270002700171",1,"U",500705,385575,"","",,"new"
"270002700171",2,"U",501018,385575,"","",,"new"
"270002700171",3,"U",501018,385376,"","",,"new"
"270002700171",4,"U",500705,385376,"","",,"new"
"270002700172",1,"U",506059,384984,"","",,"new"
"270002700172",2,"U",507186,384984,"","",,"new"
"270002700172",3,"U",507186,384311,"","",,"new"
"270002700172",4,"U",506059,384311,"","",,"new"
"270002700173",1,"U",506936,383626,"","",,"new"
"270002700173",2,"U",507508,383626,"","",,"new"
"270002700173",3,"U",507508,383153,"","",,"new"
"270002700173",4,"U",506936,383153,"","",,"new"
"270002700174",1,"U",509607,379533,"","",,"new"
"270002700174",2,"U",509978,379533,"","",,"new"
"270002700174",3,"U",509978,379306,"","",,"new"
"270002700174",4,"U",509607,379306,"","",,"new"
"270002700175",1,"U",499723,391132,"","",,"new"
"270002700175",2,"U",500631,391132,"","",,"new"
"270002700175",3,"U",500631,389832,"","",,"new"
"270002700175",4,"U",499723,389832,"","",,"new"
"270002700176",1,"U",508312,405278,"","",,"new"
"270002700176",2,"U",509146,405278,"","",,"new"
"270002700176",3,"U",509146,404366,"","",,"new"
"270002700176",4,"U",508312,404366,"","",,"new"
"270002700177",1,"U",512734,408991,"","",,"new"
"270002700177",2,"U",514154,408991,"","",,"new"
"270002700177",3,"U",514154,408087,"","",,"new"
"270002700177",4,"U",512734,408087,"","",,"new"
"270002700178",1,"U",517899,384788,"","",,"new"
"270002700178",2,"U",518730,384788,"","",,"new"
"270002700178",3,"U",518730,384187,"","",,"new"
"270002700178",4,"U",517899,384187,"","",,"new"
"270002700179",1,"U",511332,381385,"","",,"new"
"270002700179",2,"U",511900,381385,"","",,"new"
"270002700179",3,"U",511900,381097,"","",,"new"
"270002700179",4,"U",511332,381097,"","",,"new"
"270002700180",1,"U",507903,398141,"","",,"new"
"270002700180",2,"U",508435,398141,"","",,"new"
"270002700180",3,"U",508435,397552,"","",,"new"
"270002700180",4,"U",507903,397552,"","",,"new"
"270002700181",1,"U",515713,409388,"","",,"new"
"270002700181",2,"U",515713,410489,"","",,"new"
"270002700181",3,"U",516856,410489,"","",,"new"
"270002700181",4,"U",516856,409388,"","",,"new"
"270002700182",1,"U",505532,392906,"","",,"new"
"270002700182",2,"U",505866,392906,"","",,"new"
"270002700182",3,"U",505866,392770,"","",,"new"
"270002700182",4,"U",505532,392770,"","",,"new"
"270002700183",1,"U",518432,392717,"","",,"new"
"270002700183",2,"U",518998,392717,"","",,"new"
"270002700183",3,"U",518998,392510,"","",,"new"
"270002700183",4,"U",518432,392510,"","",,"new"
"270002700184",1,"U",513465,385698,"","",,"new"
"270002700184",2,"U",513801,385698,"","",,"new"
"270002700184",3,"U",513801,385384,"","",,"new"
"270002700184",4,"U",513465,385384,"","",,"new"
"270002700185",1,"U",510779,386648,"","",,"new"
"270002700185",2,"U",511363,386648,"","",,"new"
"270002700185",3,"U",511363,386293,"","",,"new"
"270002700185",4,"U",510779,386293,"","",,"new"
"270002700187",1,"U",519231,389392,"","",,"new"
"270002700187",2,"U",520381,389392,"","",,"new"
"270002700187",3,"U",520381,388791,"","",,"new"
"270002700187",4,"U",519231,388791,"","",,"new"
"270002700189",1,"U",508090,389601,"","",,"new"
"270002700189",2,"U",509455,389601,"","",,"new"
"270002700189",3,"U",509455,388818,"","",,"new"
"270002700189",4,"U",508090,388818,"","",,"new"
"270002700190",1,"U",506994,398910,"","",,"new"
"270002700190",2,"U",506994,399332,"","",,"new"
"270002700190",3,"U",507387,399332,"","",,"new"
"270002700190",4,"U",507387,398910,"","",,"new"
"270002700191",1,"U",510011,400376,"","",,"new"
"270002700191",2,"U",511519,400376,"","",,"new"
"270002700191",3,"U",511519,399561,"","",,"new"
"270002700191",4,"U",510011,399561,"","",,"new"
"270002700192",1,"U",524640,325210,"","",,"new"
"270002700192",2,"U",525810,325550,"","",,"new"
"270002700192",3,"U",526230,324880,"","",,"new"
"270002700192",4,"U",525470,324370,"","",,"new"
"270002700192",5,"U",524700,324290,"","",,"new"
"270002700192",6,"U",523650,324840,"","",,"new"
"270002700192",7,"U",523450,325650,"","",,"new"
"270002700192",8,"U",523570,326120,"","",,"new"
"270002700192",9,"U",524010,326910,"","",,"new"
"270002700192",10,"U",524920,326920,"","",,"new"
"270002700193",1,"U",504123,388478,"","",,"new"
"270002700193",2,"U",504442,388478,"","",,"new"
"270002700193",3,"U",504442,387948,"","",,"new"
"270002700193",4,"U",504123,387948,"","",,"new"
"270002700194",1,"U",499743,388378,"","",,"new"
"270002700194",2,"U",500369,388378,"","",,"new"
"270002700194",3,"U",500369,387735,"","",,"new"
"270002700194",4,"U",499743,387735,"","",,"new"
"270002700195",1,"U",512170,395142,"","",,"new"
"270002700195",2,"U",512565,395142,"","",,"new"
"270002700195",3,"U",512565,394652,"","",,"new"
"270002700195",4,"U",512170,394652,"","",,"new"
"270002700196",1,"U",503961,402177,"","",,"new"
"270002700196",2,"U",504905,402177,"","",,"new"
"270002700196",3,"U",504905,401213,"","",,"new"
"270002700196",4,"U",503961,401213,"","",,"new"
"270002700197",1,"U",505866,394897,"","",,"new"
"270002700197",2,"U",506601,394897,"","",,"new"
"270002700197",3,"U",506601,394373,"","",,"new"
"270002700197",4,"U",505866,394373,"","",,"new"
"270002700198",1,"U",515850,388503,"","",,"new"
"270002700198",2,"U",516641,388503,"","",,"new"
"270002700198",3,"U",516641,388139,"","",,"new"
"270002700198",4,"U",515850,388139,"","",,"new"
"270002700199",1,"U",506938,392832,"","",,"new"
"270002700199",2,"U",507871,392832,"","",,"new"
"270002700199",3,"U",507871,392477,"","",,"new"
"270002700199",4,"U",506938,392477,"","",,"new"
"270002700200",1,"U",499820,387560,"","",,"new"
"270002700200",2,"U",500666,387560,"","",,"new"
"270002700200",3,"U",500666,387288,"","",,"new"
"270002700200",4,"U",499820,387288,"","",,"new"
"270002700201",1,"U",510295,379031,"","",,"new"
"270002700201",2,"U",510790,379031,"","",,"new"
"270002700201",3,"U",510790,378181,"","",,"new"
"270002700201",4,"U",510295,378181,"","",,"new"
"270002700202",1,"U",518318,408286,"","",,"new"
"270002700202",2,"U",518655,408286,"","",,"new"
"270002700202",3,"U",518655,407406,"","",,"new"
"270002700202",4,"U",518318,407406,"","",,"new"
"270002700203",1,"U",514793,399308,"","",,"new"
"270002700203",2,"U",514793,399803,"","",,"new"
"270002700203",3,"U",515336,399803,"","",,"new"
"270002700203",4,"U",515336,399308,"","",,"new"
"270002700204",1,"U",500262,386428,"","",,"new"
"270002700204",2,"U",500898,386428,"","",,"new"
"270002700204",3,"U",500898,386089,"","",,"new"
"270002700204",4,"U",500262,386089,"","",,"new"
"270002700205",1,"U",506947,405956,"","",,"new"
"270002700205",2,"U",507423,405956,"","",,"new"
"270002700205",3,"U",507423,405558,"","",,"new"
"270002700205",4,"U",506947,405558,"","",,"new"
"270002700206",1,"U",516917,387188,"","",,"new"
"270002700206",2,"U",517320,387188,"","",,"new"
"270002700206",3,"U",517320,386872,"","",,"new"
"270002700206",4,"U",516917,386872,"","",,"new"
"270002700207",1,"U",505012,382486,"","",,"new"
"270002700207",2,"U",505304,382486,"","",,"new"
"270002700207",3,"U",505304,381850,"","",,"new"
"270002700207",4,"U",505012,381850,"","",,"new"
"270002700208",1,"U",507185,380546,"","",,"new"
"270002700208",2,"U",507415,380546,"","",,"new"
"270002700208",3,"U",507415,380349,"","",,"new"
"270002700208",4,"U",507185,380349,"","",,"new"
"270002700209",1,"U",498285,394930,"","",,"new"
"270002700209",2,"U",498720,394930,"","",,"new"
"270002700209",3,"U",498720,394554,"","",,"new"
"270002700209",4,"U",498285,394554,"","",,"new"
"270002700210",1,"U",505968,406690,"","",,"new"
"270002700210",2,"U",506720,406690,"","",,"new"
"270002700210",3,"U",506720,406444,"","",,"new"
"270002700210",4,"U",505968,406444,"","",,"new"
"270002700211",1,"U",503999,399200,"","",,"new"
"270002700211",2,"U",504688,399200,"","",,"new"
"270002700211",3,"U",504688,397769,"","",,"new"
"270002700211",4,"U",503999,397769,"","",,"new"
"270002700212",1,"U",506112,393994,"","",,"new"
"270002700212",2,"U",506422,393994,"","",,"new"
"270002700212",3,"U",506422,393441,"","",,"new"
"270002700212",4,"U",506112,393441,"","",,"new"
"270002700213",1,"U",500464,385031,"","",,"new"
"270002700213",2,"U",501223,385031,"","",,"new"
"270002700213",3,"U",501223,384291,"","",,"new"
"270002700213",4,"U",500464,384291,"","",,"new"
"270002700214",1,"U",517096,394474,"","",,"new"
"270002700214",2,"U",517744,394474,"","",,"new"
"270002700214",3,"U",517744,393798,"","",,"new"
"270002700214",4,"U",517096,393798,"","",,"new"
"270002700215",1,"U",517373,403430,"","",,"new"
"270002700215",2,"U",518115,403430,"","",,"new"
"270002700215",3,"U",518115,402778,"","",,"new"
"270002700215",4,"U",517373,402778,"","",,"new"
"270002700216",1,"U",514592,391137,"","",,"new"
"270002700216",2,"U",516040,391137,"","",,"new"
"270002700216",3,"U",516040,389903,"","",,"new"
"270002700216",4,"U",514592,389903,"","",,"new"
"270002700217",1,"U",516449,396826,"","",,"new"
"270002700217",2,"U",517094,396826,"","",,"new"
"270002700217",3,"U",517094,396601,"","",,"new"
"270002700217",4,"U",516449,396601,"","",,"new"
"270002700218",1,"U",520561,397893,"","",,"new"
"270002700218",2,"U",521144,397893,"","",,"new"
"270002700218",3,"U",521144,397393,"","",,"new"
"270002700218",4,"U",520561,397393,"","",,"new"
"270002700219",1,"U",504925,396291,"","",,"new"
"270002700219",2,"U",505164,396291,"","",,"new"
"270002700219",3,"U",505164,396115,"","",,"new"
"270002700219",4,"U",504925,396115,"","",,"new"
"270002700220",1,"U",509284,393769,"","",,"new"
"270002700220",2,"U",509789,393769,"","",,"new"
"270002700220",3,"U",509789,393443,"","",,"new"
"270002700220",4,"U",509284,393443,"","",,"new"
"270002700221",1,"U",497958,396539,"","",,"new"
"270002700221",2,"U",498878,396539,"","",,"new"
"270002700221",3,"U",498878,395834,"","",,"new"
"270002700221",4,"U",497958,395834,"","",,"new"
"270002700222",1,"U",513030,392581,"","",,"new"
"270002700222",2,"U",513656,392581,"","",,"new"
"270002700222",3,"U",513656,392132,"","",,"new"
"270002700222",4,"U",513030,392132,"","",,"new"
"270002700223",1,"U",506032,389470,"","",,"new"
"270002700223",2,"U",506620,389470,"","",,"new"
"270002700223",3,"U",506620,389195,"","",,"new"
"270002700223",4,"U",506032,389195,"","",,"new"
"270002700224",1,"U",512827,378710,"","",,"new"
"270002700224",2,"U",514256,378710,"","",,"new"
"270002700224",3,"U",514256,377543,"","",,"new"
"270002700224",4,"U",512827,377543,"","",,"new"
"270002700225",1,"U",507547,404748,"","",,"new"
"270002700225",2,"U",507547,405166,"","",,"new"
"270002700225",3,"U",507990,405166,"","",,"new"
"270002700225",4,"U",507990,404748,"","",,"new"
"270002700226",1,"U",504425,386551,"","",,"new"
"270002700226",2,"U",504734,386551,"","",,"new"
"270002700226",3,"U",504734,386259,"","",,"new"
"270002700226",4,"U",504425,386259,"","",,"new"
"270002700227",1,"U",510453,383749,"","",,"new"
"270002700227",2,"U",511236,383749,"","",,"new"
"270002700227",3,"U",511236,383015,"","",,"new"
"270002700227",4,"U",510453,383015,"","",,"new"
"270002700471",1,"U",506708,402520,"","",,"new"
"270002700471",2,"U",507219,402520,"","",,"new"
"270002700471",3,"U",507219,401668,"","",,"new"
"270002700471",4,"U",506708,401668,"","",,"new"
"270002700472",1,"U",538249,358185,"","",,"new"
"270002700472",2,"U",538685,358185,"","",,"new"
"270002700472",3,"U",538685,356484,"","",,"new"
"270002700472",4,"U",538249,356484,"","",,"new"
"270002700473",1,"U",549326,371070,"","",,"new"
"270002700473",2,"U",549954,371070,"","",,"new"
"270002700473",3,"U",549954,370590,"","",,"new"
"270002700473",4,"U",549326,370590,"","",,"new"
"270002700474",1,"U",545416,378971,"","",,"new"
"270002700474",2,"U",546005,378971,"","",,"new"
